CODIGO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
16-01-0137-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN;JORGE EDUARDO PAQUE LAZARO;--;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0138-46;ALTA VERAPAZ;COBAN;COLEGIO COBAN;JOSE ARTURO CHOC CHEN;GUSTAVO ADOLFO SIERRA POP;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0139-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO VERAPAZ;ARMANDO AUDILIO POP CUCUL;GILMA DOLORES GUAY PAZ DE LEAL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0140-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA INMACULADA""";JOSE ARTURO CHOC CHEN;VIRGINIA SOLANO SERRANO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0141-46;ALTA VERAPAZ;COBAN;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;MOISÉS ADRIÁN LÓPEZ PÉREZ;ESTELA DEL CARMEN QUIM ROSALES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0142-46;ALTA VERAPAZ;COBAN;INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE';NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0143-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO IMPERIAL;EFRAIN CAAL CUC;MYNOR GUSTAVO IPIÑA ESPAÑA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0145-46;ALTA VERAPAZ;COBAN;INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N;JORGE EDUARDO PAQUE LAZARO;LUIS FERNANDO SOTO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0147-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA INMACULADA""";PATRICIO NAJARRO ASENCIO;ROSA MARÍA ZAMORA GONZÁLEZ;DIVERSIFICADO;PRIVADO;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0150-46;ALTA VERAPAZ;COBAN;INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-;JORGE EDUARDO PAQUE LAZARO;GUILLERMO ESTUARDO VASQUEZ MORALES;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;BILINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0155-46;ALTA VERAPAZ;COBAN;"LICEO ""MODERNO LATINO""";MOISÉS ADRIÁN LÓPEZ PÉREZ;HÉCTOR ARMANDO TEYUL CHEN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0428-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;JOSE ARTURO CHOC CHEN;HELSON MARCO CHÉN GUTIERREZ;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0471-46;ALTA VERAPAZ;COBAN;"COLEGIO DE INFORMATICA ""CENINFAV""";MOISÉS ADRIÁN LÓPEZ PÉREZ;MARIA MAGDALENA BOL CU;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0478-46;ALTA VERAPAZ;COBAN;"COLEGIO EVANGELICO ""LA PATRIA""";PATRICIO NAJARRO ASENCIO;AURA EUNICE SOTO FONSECA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0481-46;ALTA VERAPAZ;COBAN;LICEO AMERICANO DEL NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;JOSÉ CUPERTINO REYES GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0483-46;ALTA VERAPAZ;COBAN;LICEO AMERICANO DEL NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;JOSÉ CUPERTINO REYES GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0557-46;ALTA VERAPAZ;COBAN;"COLEGIO ""LA LIBERTAD""";PATRICIO NAJARRO ASENCIO;ERICK FERNANDO CHOC GARCIA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0558-46;ALTA VERAPAZ;COBAN;"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""";NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0559-46;ALTA VERAPAZ;COBAN;INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE;NORA LILIANA FIGUEROA HERNÁNDEZ;VICTOR HUGO DOMÍNGUEZ REYES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0563-46;ALTA VERAPAZ;COBAN;CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG;NELSON OMAR TENÍ BREMER;DAVID WALDEMAR URRUTIA CHOC;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0565-46;ALTA VERAPAZ;COBAN;"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""";NORA LILIANA FIGUEROA HERNÁNDEZ;RONALD ARMANDO CAAL TIUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0568-46;ALTA VERAPAZ;COBAN;INSTITUTO PRIVADO RAUL CHENAL HEINEMANN;MOISÉS ADRIÁN LÓPEZ PÉREZ;SILVIA BEATRIZ SOTO CHÉN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0570-46;ALTA VERAPAZ;COBAN;LICEO MIGUEL ANGEL ASTURIAS;PATRICIO NAJARRO ASENCIO;JAYRON ARIEL COY CACAO;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0572-46;ALTA VERAPAZ;COBAN;LICEO MIGUEL ANGEL ASTURIAS;MOISÉS ADRIÁN LÓPEZ PÉREZ;JAYRON ARIEL COY CACAO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0573-46;ALTA VERAPAZ;COBAN;COLEGIO CRISTIANO BILINGUE VERBO;JOSE ARTURO CHOC CHEN;LESLY EUGENIA CHOCOOJ VIDAURRE;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0574-46;ALTA VERAPAZ;COBAN;ESCUELA NACIONAL DE CIENCIAS COMERCIALES;MOISÉS ADRIÁN LÓPEZ PÉREZ;MAYNOR ROBERTO CAAL BOL;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0583-46;ALTA VERAPAZ;COBAN;COLEGIO NUEVOS SENDEROS;EFRAIN CAAL CUC;ZOYLA ARGENTINA MOLLINEDO ALVARADO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0587-46;ALTA VERAPAZ;COBAN;LICEO MIXTO EN COMPUTACION DEL NORTE;EDETANO OXOM YAT;JULIO ROBERTO PERALTA COL;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0588-46;ALTA VERAPAZ;COBAN;LICEO MIXTO EN COMPUTACION DEL NORTE;EDETANO OXOM YAT;JULIO ROBERTO PERALTA COL;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0604-46;ALTA VERAPAZ;COBAN;INSTITUTO PRIVADO RAUL CHENAL HEINEMANN;MOISÉS ADRIÁN LÓPEZ PÉREZ;SILVIA BEATRIZ SOTO CHÉN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0609-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-;EFRAIN CAAL CUC;JUAN PASCUAL LUCAS ANTONIO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0611-46;ALTA VERAPAZ;COBAN;COLEGIO HISPANOAMERICANO;PATRICIO NAJARRO ASENCIO;OCTAVIO ISMAEL BATZ CHOC;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0612-46;ALTA VERAPAZ;COBAN;INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER;EFRAIN CAAL CUC;THELMA MARTINA POP TZIR;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0613-46;ALTA VERAPAZ;COBAN;"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""";EFRAIN CAAL CUC;MARGARITA VILLALOBOS LIGORRÍA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0616-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;NELSON OMAR TENÍ BREMER;AXEL ABELARDO CHUB LEAL;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0619-46;ALTA VERAPAZ;COBAN;"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""";PATRICIO NAJARRO ASENCIO;MARGARITA VILLALOBOS LIGORRÍA;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0642-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;LOURDES KARINA PACAY YAXCAL;GILDA ARACELY WELLMANN DUARTE;DIVERSIFICADO;OFICIAL;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0646-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO;PATRICIO NAJARRO ASENCIO;ERWIN ROLANDO XOL CHUN;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0647-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO IMPERIAL;PATRICIO NAJARRO ASENCIO;JUAN JOSÉ LUTHER MEJICANOS;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0651-46;ALTA VERAPAZ;COBAN;CENTRO DE FORMACIÓN INTEGRAL CIUDAD DE LA ESPERANZA;JOSE ARTURO CHOC CHEN;BYRON ANIBAL GÓMEZ GATICA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0652-46;ALTA VERAPAZ;COBAN;INSTITUTO MAYA COMUNITARIO K'AMOLB'E;NELSON OMAR TENÍ BREMER;JOSE LINO QUIB CHE;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0664-46;ALTA VERAPAZ;COBAN;LICEO AMERICANO DEL NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;JOSÉ CUPERTINO REYES GARCIA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0665-46;ALTA VERAPAZ;COBAN;"COLEGIO DE INFORMÁTICA ""CENINFAV""";PATRICIO NAJARRO ASENCIO;MARIA MAGDALENA BOL CU;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0666-46;ALTA VERAPAZ;COBAN;"COLEGIO DE INFORMÁTICA ""CENINFAV""";PATRICIO NAJARRO ASENCIO;HÉCTOR VIDAL BOL CÚ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0668-46;ALTA VERAPAZ;COBAN;COLEGIO PARTICULAR MIXTO IMPERIAL;EFRAIN CAAL CUC;SUSELY BEATRIZ ELÍAS POP;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0671-46;ALTA VERAPAZ;COBAN;COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA;MOISÉS ADRIÁN LÓPEZ PÉREZ;JORGE SALVADOR JUÁREZ SIERRA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0672-46;ALTA VERAPAZ;COBAN;ICA;MOISÉS ADRIÁN LÓPEZ PÉREZ;LAIDY ANDREA CHOCOOJ TIUL;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0678-46;ALTA VERAPAZ;COBAN;COLEGIO LA LIBERTAD;NORA LILIANA FIGUEROA HERNÁNDEZ;SILVIA YOLANDA CAAL QUIM;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0681-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO PRIVADO SANTO DOMINGO;MOISÉS ADRIÁN LÓPEZ PÉREZ;AMÉRICA NUILA LUTHER;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0690-46;ALTA VERAPAZ;COBAN;"ISEA ""LA ESCUELA EN SU CASA""";EFRAIN CAAL CUC;LUDWING JOEL NORIEGA MORALES;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;A DISTANCIA;ALTA VERAPAZ
16-01-0694-46;ALTA VERAPAZ;COBAN;COLEGIO LA LIBERTAD;NORA LILIANA FIGUEROA HERNÁNDEZ;SILVIA YOLANDA CAAL QUIM;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;SEMIPRESENCIAL;ALTA VERAPAZ
16-01-0703-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO;NORA LILIANA FIGUEROA HERNÁNDEZ;RONALD ARMANDO CAAL TIUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0705-46;ALTA VERAPAZ;COBAN;PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA;MAXIMILIANO CHUB ICAL;--;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;DOBLE;A DISTANCIA;ALTA VERAPAZ
16-01-0708-46;ALTA VERAPAZ;COBAN;"ISEA ""LA ESCUELA EN SU CASA""";PATRICIO NAJARRO ASENCIO;YADIRA SOMARI ALFARO OCH;DIVERSIFICADO;PRIVADO;URBANA;CERRADA DEFINITIVAMENTE;MONOLINGUE;DOBLE;VIRTUAL A DISTANCIA;ALTA VERAPAZ
16-01-0710-46;ALTA VERAPAZ;COBAN;OXFORD BILINGUAL SCHOOL;NORA LILIANA FIGUEROA HERNÁNDEZ;DARWIN ROBERTO IGLESIAS DE LA CRUZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;BILINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0712-46;ALTA VERAPAZ;COBAN;ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-;MAXIMILIANO CHUB ICAL;ANABELA CECILIA BOL CAAL;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0909-46;ALTA VERAPAZ;COBAN;"ISEA ""LA ESCUELA EN SU CASA""";EFRAIN CAAL CUC;LUDWING JOEL NORIEGA MORALES;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0910-46;ALTA VERAPAZ;COBAN;COLEGIO DE INFORMATICA CENINFAV;MOISÉS ADRIÁN LÓPEZ PÉREZ;HÉCTOR VIDAL BOL CÚ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0912-46;ALTA VERAPAZ;COBAN;COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA;MOISÉS ADRIÁN LÓPEZ PÉREZ;DANIEL BERNARDO RAMIREZ GONZÁLEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0913-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO;NORA LILIANA FIGUEROA HERNÁNDEZ;RONALD ARMANDO CAAL TIUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0915-46;ALTA VERAPAZ;COBAN;INSTITUTO MIXTO PRIVADO SANTO DOMINGO;MOISÉS ADRIÁN LÓPEZ PÉREZ;AMÉRICA NUILA LUTHER;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0917-46;ALTA VERAPAZ;COBAN;INSTITUTO PRIVADO MIXTO MONJA BLANCA;MOISÉS ADRIÁN LÓPEZ PÉREZ;EDWIN ARMANDO CATÚN CAAL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0918-46;ALTA VERAPAZ;COBAN;LICEO PREUNIVERSITARIO DE NORTE;NORA LILIANA FIGUEROA HERNÁNDEZ;ZOILA IMENA LÓPEZ RODAS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0919-46;ALTA VERAPAZ;COBAN;"LICEO MIXTO PARTICULAR ""SAN BENITO""";MOISÉS ADRIÁN LÓPEZ PÉREZ;HENRI MARCO ARTOLA TEYUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0922-46;ALTA VERAPAZ;COBAN;COLEGIO LA LIBERTAD;NORA LILIANA FIGUEROA HERNÁNDEZ;SILVIA YOLANDA CAAL QUIM;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0926-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA;EFRAIN CAAL CUC;SELVIN EDDER HERNÁNDEZ MOLINA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0927-46;ALTA VERAPAZ;COBAN;INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA;EFRAIN CAAL CUC;SELVIN EDDER HERNÁNDEZ MOLINA;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0982-46;ALTA VERAPAZ;COBAN;CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-;MAXIMILIANO CHUB ICAL;LIDIA DOLORES YAT XOL;DIVERSIFICADO;OFICIAL;SIN ESPECIFICAR;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;SEMIPRESENCIAL;ALTA VERAPAZ
16-01-0986-46;ALTA VERAPAZ;COBAN;COLEGIO MIXTO LA EXCELENCIA;MOISÉS ADRIÁN LÓPEZ PÉREZ;ZULY BEATRIZ LÓPEZ WINTER;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0987-46;ALTA VERAPAZ;COBAN;COLEGIO MIXTO LA EXCELENCIA;MOISÉS ADRIÁN LÓPEZ PÉREZ;ZULY BEATRIZ LÓPEZ WINTER;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (FIN DE SEMANA);ALTA VERAPAZ
16-01-0990-46;ALTA VERAPAZ;COBAN;"LICEO MIXTO PARTICULAR ""SAN BENITO""";MOISÉS ADRIÁN LÓPEZ PÉREZ;HENRI MARCO ARTOLA TEYUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;SIN JORNADA;SEMIPRESENCIAL (UN DÍA A LA SEMANA);ALTA VERAPAZ
16-01-0991-46;ALTA VERAPAZ;COBAN;"LICEO MIXTO PARTICULAR ""SAN BENITO""";MOISÉS ADRIÁN LÓPEZ PÉREZ;HENRI MARCO ARTOLA TEYUL;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ALTA VERAPAZ
16-01-0994-46;ALTA VERAPAZ;COBAN;CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-;MAXIMILIANO CHUB ICAL;HENRRY ALEXANDER DE LOS SANTOS MUTZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ALTA VERAPAZ
16-01-0997-46;ALTA VERAPAZ;COBAN;CENTRO EDUCATIVO BETANIA;AQUILES GEOVANI BAC GUEVARA;SANDRA JULIETA PÉREZ RAMOS;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-1001-46;ALTA VERAPAZ;COBAN;LICEO DR. RICARDO BRESSANI;EFRAIN CAAL CUC;BELSY CLARIBEL SANTISTEBAN ARCHILA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;VIRTUAL A DISTANCIA;ALTA VERAPAZ
16-01-1002-46;ALTA VERAPAZ;COBAN;COLEGIO CRISTIANO ELIM;EFRAIN CAAL CUC;SELVIN DARIO ROSALES AGUIRRE;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-1005-46;ALTA VERAPAZ;COBAN;LICEO CHAAB'IL B'E;MOISÉS ADRIÁN LÓPEZ PÉREZ;ALLAN NOEL MACZ CHIQUIN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;VIRTUAL A DISTANCIA;ALTA VERAPAZ
16-01-1008-46;ALTA VERAPAZ;COBAN;COLEGIO HISPANOAMERICANO;MOISÉS ADRIÁN LÓPEZ PÉREZ;OCTAVIO ISMAEL BATZ CHOC;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-1009-46;ALTA VERAPAZ;COBAN;COLEGIO BILINGÜE BET-LUZ;JOSE ARTURO CHOC CHEN;CELESTE LETICIA YAT MACZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-1041-46;ALTA VERAPAZ;COBAN;INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA;NELSON OMAR TENÍ BREMER;ENEIDA YASMIRA YAT LEAL;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;BILINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
16-01-1051-46;ALTA VERAPAZ;COBAN;LICEO GUATEMALTECO 502;MOISÉS ADRIÁN LÓPEZ PÉREZ;MANUEL DE JESÚS CRUZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ALTA VERAPAZ
