,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN
0,16-01-0137-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO NOCTURNO FRANCISCO MARROQUIN,A AVENIDA  ZONA,['NO_VALIDO'],JORGE EDUARDO PAQUE LAZARO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
1,16-01-0138-46,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM SALIDA A SAN JUAN CHAMELCO ZONA,['77945104'],JOSE ARTURO CHOC CHEN,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
2,16-01-0139-46,16-01-0927,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM  ENTRADA A LA CIUDAD,['58015763'],ARMANDO AUDILIO POP CUCUL,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
3,16-01-0140-46,16-01-0926,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",A AVENIDA  ZONA,['78232301'],JOSE ARTURO CHOC CHEN,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
4,16-01-0141-46,16-01-0924,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,A CALLE  ZONA,['40389968'],MOISES ADRIAN LOPEZ PEREZ,ESTELA DEL CARMEN QUIM ROSALES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
5,16-01-0142-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',A AVE  ZONA,['54457786'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
6,16-01-0143-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,A CALLE  ZONA,['57101061'],EFRAIN CAAL CUC,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
7,16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO DE TURSMO Y AVIACON DEL NORTE I.T.A.N,AV  ZONA,['54641454'],JORGE EDUARDO PAQUE LAZARO,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
8,16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",A CALLE  ZONA  COBAN,['49532425'],PATRICIO NAJARRO ASENCIO,ROSA MARIA ZAMORA GONZALEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR)
9,16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,INSTITUTO INTERCULTRUAL ALTAVERAPACENCESE -IIAV-,A AVAENIDA  ZONA,['NO_VALIDO'],JORGE EDUARDO PAQUE LAZARO,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA
10,16-01-0155-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",AVENIDA  ZONA,['79522555'],MOISES ADRIAN LOPEZ PEREZ,HECTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
11,16-01-0428-46,16-01-0926,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,DIAGONAL   ZONA  BARRIO CANTON LAS CASAS,['77930045'],JOSE ARTURO CHOC CHEN,HELSON MARCO CHEN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
12,16-01-0471-46,16-01-0924,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",AV  ZONA,['79545566'],MOISES ADRIAN LOPEZ PEREZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
13,16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO EVANGELICO ""LA PATRIA""",FINCA CHIMAXITO ZONA,['79514440'],PATRICIO NAJARRO ASENCIO,AURA EUNICE SOTO FONSECA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
14,16-01-0481-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,TA CALLE  ZONA,['79514754'],NORA LILIANA FIGUEROA HERNANDEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
15,16-01-0483-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,TA CALLE  ZONA,['79514754'],NORA LILIANA FIGUEROA HERNANDEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
16,16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA LIBERTAD""",RA AVENIDA  ZONA,['79523696'],PATRICIO NAJARRO ASENCIO,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
17,16-01-0558-46,16-01-0925,ALTA VERAPAZ,COBAN,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",A AVE  ZONA,['54457786'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
18,16-01-0559-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,A AVE  ZONA,['54457786'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
19,16-01-0563-46,16-01-0937,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,['79522793'],NELSON OMAR TENI BREMER,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
20,16-01-0565-46,16-01-0925,ALTA VERAPAZ,COBAN,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",DIAGNONAL   ZONA,['51600258'],NORA LILIANA FIGUEROA HERNANDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
21,16-01-0568-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,A CALLE  ZONA,['79511991'],MOISES ADRIAN LOPEZ PEREZ,SILVIA BEATRIZ SOTO CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
22,16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,A CALLE  ZONA,['79511103'],PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
23,16-01-0572-46,16-01-0924,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,A CALLE  ZONA,['79511103'],MOISES ADRIAN LOPEZ PEREZ,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
24,16-01-0573-46,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,A CALLE A  ZONA,['77945181'],JOSE ARTURO CHOC CHEN,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
25,16-01-0574-46,16-01-0924,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,A CALLE  ZONA,['78674618'],MOISES ADRIAN LOPEZ PEREZ,MAYNOR ROBERTO CAAL BOL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
26,16-01-0583-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,A CALLE  ZONA,['79417300'],EFRAIN CAAL CUC,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
27,16-01-0587-46,16-026,ALTA VERAPAZ,COBAN,LICEO MIXTO EN COMPUTACION DEL NORTE,A CALLE Y A AVENIDA LOTE  BARRIO EL CENTRO,['48633323'],EDETANO OXOM YAT,JULIO ROBERTO PERALTA COL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
28,16-01-0588-46,16-026,ALTA VERAPAZ,COBAN,LICEO MIXTO EN COMPUTACION DEL NORTE,A CALLE Y A AVENIDA LOTE  BARRIO EL CENTRO,['48633323'],EDETANO OXOM YAT,JULIO ROBERTO PERALTA COL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
29,16-01-0604-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,A CALLE  ZONA,['79511991'],MOISES ADRIAN LOPEZ PEREZ,SILVIA BEATRIZ SOTO CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
30,16-01-0609-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,['30367501'],EFRAIN CAAL CUC,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
31,16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,A CALLE  COMUNIDAD PETET CHIXIC ZONA,['74725125'],PATRICIO NAJARRO ASENCIO,OCTAVIO ISMAEL BATZ CHOC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
32,16-01-0612-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,CALZADA RABIN AJAU ZONA,['57565646'],EFRAIN CAAL CUC,THELMA MARTINA POP TZIR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
33,16-01-0613-46,16-01-0923,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",A CALLE  ZONA,['77259205'],EFRAIN CAAL CUC,MARGARITA VILLALOBOS LIGORRIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
34,16-01-0616-46,16-01-0938,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,['57655184'],NELSON OMAR TENI BREMER,AXEL ABELARDO CHUB LEAL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
35,16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",A CALLE  ZONA,['77259205'],PATRICIO NAJARRO ASENCIO,MARGARITA VILLALOBOS LIGORRIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
36,16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,['53331646'],LOURDES KARINA PACAY YAXCAL,GILDA ARACELY WELLMANN DUARTE,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
37,16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL   ZONA,['44042550'],PATRICIO NAJARRO ASENCIO,ERWIN ROLANDO XOL CHUN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
38,16-01-0647-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,A CALLE  ZONA,['57101061'],PATRICIO NAJARRO ASENCIO,JUAN JOSE LUTHER MEJICANOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
39,16-01-0651-46,16-01-0926,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL CIUDAD DE LA ESPERANZA,A AV  ZONA  COLONIA EL ESFUERZO I,['51755005'],JOSE ARTURO CHOC CHEN,BYRON ANIBAL GOMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
40,16-01-0652-46,16-01-0938,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K'AMOLB'E,ALDEA NIMLAJACOC,['30621374'],NELSON OMAR TENI BREMER,JOSE LINO QUIB CHE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
41,16-01-0664-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,TA AVENIDA  ZONA,['79514754'],NORA LILIANA FIGUEROA HERNANDEZ,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
42,16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",AVENIDA  ZONA,['79545566'],PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR)
43,16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",AVENIDA  ZONA,['79521765'],PATRICIO NAJARRO ASENCIO,HECTOR VIDAL BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA
44,16-01-0668-46,16-01-0923,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,A CALLE  ZONA,['57101061'],EFRAIN CAAL CUC,SUSELY BEATRIZ ELIAS POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR)
45,16-01-0671-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,A CALLE  ZONA,['79511459'],MOISES ADRIAN LOPEZ PEREZ,JORGE SALVADOR JUAREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR)
46,16-01-0672-46,16-01-0924,ALTA VERAPAZ,COBAN,ICA,AVENIDA  ZONA,['33509500'],MOISES ADRIAN LOPEZ PEREZ,LAIDY ANDREA CHOCOOJ TIUL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
47,16-01-0678-46,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,A AVENIDA CINCO GUION DOCE (),['48979726'],NORA LILIANA FIGUEROA HERNANDEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
48,16-01-0681-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,A CALLE  ZONA,['77918163'],MOISES ADRIAN LOPEZ PEREZ,AMERICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
49,16-01-0690-46,16-01-0923,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",A AV  ZONA,['77930803'],EFRAIN CAAL CUC,LUDWING JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA
50,16-01-0694-46,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,A AV  ZONA,['55564568'],NORA LILIANA FIGUEROA HERNANDEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL
51,16-01-0703-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL   ZONA,['51600258'],NORA LILIANA FIGUEROA HERNANDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
52,16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA,A AV  D ZONA,['45587767'],MAXIMILIANO CHUB ICAL,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA
53,16-01-0708-46,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",A AVENIDA  ZONA,['77256954'],PATRICIO NAJARRO ASENCIO,YADIRA SOMARI ALFARO OCH,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA
54,16-01-0710-46,16-01-0925,ALTA VERAPAZ,COBAN,OXFORD BILINGUAL SCHOOL,DA CALLE  ZONA,['79513898'],NORA LILIANA FIGUEROA HERNANDEZ,DARWIN ROBERTO IGLESIAS DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR)
55,16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,ENBI CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-,AVENIDA  ZONA,['79521302'],MAXIMILIANO CHUB ICAL,ANABELA CECILIA BOL CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR)
56,16-01-0909-46,16-01-0923,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","A CALLE ""A""  ZONA",['77256954'],EFRAIN CAAL CUC,LUDWING JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
57,16-01-0910-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,AVENIDA  ZONA,['79521765'],MOISES ADRIAN LOPEZ PEREZ,HECTOR VIDAL BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
58,16-01-0912-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,A CALLE  ZONA,['79511459'],MOISES ADRIAN LOPEZ PEREZ,DANIEL BERNARDO RAMIREZ GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
59,16-01-0913-46,16-01-0925,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGONAL   ZONA  COBAN,['51600258'],NORA LILIANA FIGUEROA HERNANDEZ,RONALD ARMANDO CAAL TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
60,16-01-0915-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,A CALLE  ZONA,['77918163'],MOISES ADRIAN LOPEZ PEREZ,AMERICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
61,16-01-0917-46,16-01-0924,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO MIXTO MONJA BLANCA,DIAGONAL   ZONA,['79513896'],MOISES ADRIAN LOPEZ PEREZ,EDWIN ARMANDO CATUN CAAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
62,16-01-0918-46,16-01-0925,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,A AVENIDA  ZONA,['79417346'],NORA LILIANA FIGUEROA HERNANDEZ,ZOILA IMENA LOPEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
63,16-01-0919-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""",A AVENIDA  ZONA,['37058145'],MOISES ADRIAN LOPEZ PEREZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
64,16-01-0922-46,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,A AVENIDA  ZONA,['33857209'],NORA LILIANA FIGUEROA HERNANDEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
65,16-01-0926-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,A CALLE  ZONA  COBAN,['33622052'],EFRAIN CAAL CUC,SELVIN EDDER HERNANDEZ MOLINA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
66,16-01-0927-46,16-01-0923,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,A CALLE  ZONA,['33622052'],EFRAIN CAAL CUC,SELVIN EDDER HERNANDEZ MOLINA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
67,16-01-0982-46,16-050,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-,A AVENIDA  ZONA,['45423234'],MAXIMILIANO CHUB ICAL,LIDIA DOLORES YAT XOL,DIVERSIFICADO,OFICIAL,SIN ESPECIFICAR,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,SEMIPRESENCIAL
68,16-01-0986-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,A CALLE  ZONA  COBAN,['41114848'],MOISES ADRIAN LOPEZ PEREZ,ZULY BEATRIZ LOPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
69,16-01-0987-46,16-01-0924,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,A CALLE  ZONA  COBAN,['41114848'],MOISES ADRIAN LOPEZ PEREZ,ZULY BEATRIZ LOPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA)
70,16-01-0990-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""",A AVENIDA  ZONA,['37058145'],MOISES ADRIAN LOPEZ PEREZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA)
71,16-01-0991-46,16-01-0924,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""",A AVENIDA  ZONA,['37058145'],MOISES ADRIAN LOPEZ PEREZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA
72,16-01-0994-46,16-050,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-,BARRIO CHIVENCORRAL ZONA,['49972934'],MAXIMILIANO CHUB ICAL,HENRRY ALEXANDER DE LOS SANTOS MUTZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR)
73,16-01-0997-46,16-01-0939,ALTA VERAPAZ,COBAN,CENTRO EDUCATIVO BETANIA,SAN BENITO I,['57733529'],AQUILES GEOVANI BAC GUEVARA,SANDRA JULIETA PEREZ RAMOS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
